year,total_mm,enso
1970,267.1,La Niña
1971,279.7,La Niña
1972,288.4,El Niño
1973,263.6,La Niña
1974,266.8,Neutral
1975,244.9,La Niña
1976,283.9,El Niño
1977,257.7,El Niño
1978,492.6,Neutral
1979,298.3,Neutral
1980,330.8,Neutral
1981,302.6,Neutral
1982,399.5,El Niño
1983,463.1,Neutral
1984,388.0,Neutral
1985,335.2,Neutral
1986,334.5,El Niño
1987,323.7,El Niño
1988,306.1,La Niña
1989,185.9,Neutral
1990,340.2,Neutral
1991,314.9,El Niño
1992,444.3,Neutral
1993,408.5,Neutral
1994,302.0,El Niño
1995,278.0,La Niña
1996,211.8,Neutral
1997,307.6,El Niño
1998,353.6,La Niña
1999,250.1,La Niña
2000,268.2,La Niña
2001,262.4,Neutral
2002,166.1,El Niño
2003,256.3,Neutral
2004,332.0,El Niño
2005,321.8,Neutral
2006,234.9,El Niño
2007,264.2,La Niña
2008,297.0,Neutral
2009,170.4,El Niño
2010,341.4,La Niña
2011,235.4,La Niña
2012,235.4,Neutral
2013,293.0,Neutral
2014,268.3,Neutral
2015,347.5,El Niño
2016,300.0,Neutral
2017,230.4,Neutral
2018,283.2,El Niño
2019,361.0,Neutral
2020,160.8,La Niña
2021,301.1,La Niña
2022,291.7,La Niña
2023,269.3,El Niño
2024,237.7,Neutral
2025,239.9,Neutral
2026,58.7,Neutral
