seqnum,i,lat,lon,f-i,forward_angle,wind,wind_u,wind_v,landfall,time,tracknum
1,1,-8.7,160.3,46,165.2476804235531,25.0,-24.175890768837434,6.366027453070002,0,1968-04-04 12:00:00,1968094S08156
1,2,-9.075,160.4,45,165.26275351894526,25.0,-24.17756467581212,6.359667156929043,0,1968-04-04 15:00:00,1968094S08156
1,3,-9.45,160.5,44,165.2784324691396,25.0,-24.17930408902684,6.353050745143624,0,1968-04-04 18:00:00,1968094S08156
1,4,-9.825,160.6,43,165.29471685616522,25.0,-24.18110875216686,6.346178339432261,1,1968-04-04 21:00:00,1968094S08156
1,5,-10.2,160.7,42,163.35532190514448,25.0,-23.952487727393677,7.1608890278411135,0,1968-04-05 00:00:00,1968094S08156
1,6,-10.774999999999999,160.875,41,163.38621675361946,27.5,-26.351980068614402,7.862769643284061,0,1968-04-05 03:00:00,1968094S08156
1,7,-11.35,161.05,40,163.41870224399327,30.0,-28.75247329765955,8.56126621869538,0,1968-04-05 06:00:00,1968094S08156
1,8,-11.925,161.225,39,163.45277665272738,32.5,-31.154022996123132,9.256179079784005,0,1968-04-05 09:00:00,1968094S08156
1,9,-12.5,161.4,38,168.0443217267299,35.0,-34.240784908355835,7.25042404688934,0,1968-04-05 12:00:00,1968094S08156
1,10,-13.075,161.525,37,168.07199742584726,35.0,-34.244283101043116,7.233883804403595,0,1968-04-05 15:00:00,1968094S08156
1,11,-13.65,161.65,36,168.1008455459953,35.0,-34.24792098231675,7.216641073864502,0,1968-04-05 18:00:00,1968094S08156
1,12,-14.225000000000001,161.775,35,168.1308638988147,35.0,-34.251697217811085,7.198696944544369,0,1968-04-05 21:00:00,1968094S08156
1,13,-14.8,161.9,34,174.1052762590616,35.0,-34.81492976038634,3.5945327623163226,0,1968-04-06 00:00:00,1968094S08156
1,14,-15.5,161.975,33,174.12554923801406,37.5,-37.30307082361998,3.8380863888130006,0,1968-04-06 03:00:00,1968094S08156
1,15,-16.200000000000003,162.05,32,174.1466943560372,40.0,-39.79145038554822,4.079273981293106,0,1968-04-06 06:00:00,1968094S08156
1,16,-16.900000000000002,162.125,31,174.16870864596012,42.5,-42.28007821919513,4.317983994729649,0,1968-04-06 09:00:00,1968094S08156
1,17,-17.6,162.2,30,170.61769170777427,45.0,-44.39801457576721,7.335959496205133,0,1968-04-06 12:00:00,1968094S08156
1,18,-18.175,162.29999999999998,29,170.64853151575016,47.5,-46.8687321457879,7.71828653564946,0,1968-04-06 15:00:00,1968094S08156
1,19,-18.75,162.39999999999998,28,170.68030189333467,50.0,-49.34000496035762,8.097154470052164,0,1968-04-06 18:00:00,1968094S08156
1,20,-19.325,162.5,27,170.71300012297354,52.5,-51.81184879998394,8.472444979319857,0,1968-04-06 21:00:00,1968094S08156
1,21,-19.9,162.6,26,152.70378363433542,55.0,-48.87561351758247,25.222497958765096,0,1968-04-07 00:00:00,1968094S08156
1,22,-20.625,163.0,25,152.8173931865506,55.0,-48.925530102984034,25.12553490260462,0,1968-04-07 03:00:00,1968094S08156
1,23,-21.35,163.4,24,152.93495647227576,55.0,-48.9769813160279,25.025093429784707,0,1968-04-07 06:00:00,1968094S08156
1,24,-22.075,163.79999999999998,23,153.05647759188628,55.0,-49.02994793014975,24.921159803805352,0,1968-04-07 09:00:00,1968094S08156
1,25,-22.8,164.2,22,140.19004033771364,55.0,-42.2494733332203,35.21337818309267,0,1968-04-07 12:00:00,1968094S08156
1,26,-23.35,164.7,21,140.3090494550445,55.0,-42.32252388201826,35.1255458641712,0,1968-04-07 15:00:00,1968094S08156
1,27,-23.9,165.2,20,140.43105258089923,55.0,-42.39722267743315,35.03534656943112,0,1968-04-07 18:00:00,1968094S08156
1,28,-24.45,165.7,19,140.55606665930247,55.0,-42.47356557389785,34.942756437347626,0,1968-04-07 21:00:00,1968094S08156
1,29,-25.0,166.2,18,143.79531417048707,55.0,-44.380160431826816,32.48694137719514,0,1968-04-08 00:00:00,1968094S08156
1,30,-25.95,166.975,17,144.02158537806207,55.0,-44.50811072257753,32.31142336553404,0,1968-04-08 03:00:00,1968094S08156
1,31,-26.9,167.75,16,144.25660197783913,55.0,-44.64027136115159,32.12858809226993,0,1968-04-08 06:00:00,1968094S08156
1,32,-27.85,168.525,15,144.50043456016806,55.0,-44.77659574727893,31.938322956673257,0,1968-04-08 09:00:00,1968094S08156
1,33,-28.8,169.3,14,147.4638798648906,55.0,-46.367890599713,29.580715362091002,0,1968-04-08 12:00:00,1968094S08156
1,34,-29.650000000000002,169.925,13,147.68745235957402,55.0,-46.48296350778461,29.399559580612166,0,1968-04-08 15:00:00,1968094S08156
1,35,-30.5,170.55,12,147.91780580215857,55.0,-46.600786272823576,29.212441163905115,0,1968-04-08 18:00:00,1968094S08156
1,36,-31.35,171.175,11,148.15497654089677,55.0,-46.72130896168099,29.019291667908572,0,1968-04-08 21:00:00,1968094S08156
1,37,-32.2,171.8,10,144.09777011784854,55.0,-44.55103504128025,32.25221351706917,0,1968-04-09 00:00:00,1968094S08156
1,38,-33.35,172.8,9,144.46604100004794,57.5,-46.79184370408019,33.41815917690457,0,1968-04-09 03:00:00,1968094S08156
1,39,-34.5,173.8,8,147.08903016667506,60.0,-50.37095118741182,32.600111602192044,0,1968-04-09 06:00:00,1968094S08156
1,40,-35.75,174.8,7,147.50889621397857,60.0,-50.60849167215826,32.23011899868023,0,1968-04-09 09:00:00,1968094S08156
1,41,-37.0,175.8,6,164.22263577394006,60.0,-57.73952927168487,16.31400501054984,1,1968-04-09 12:00:00,1968094S08156
1,42,-38.25,176.25,5,164.48446633972162,62.5,-60.22237286618255,16.71872621841986,0,1968-04-09 15:00:00,1968094S08156
1,43,-39.5,176.7,4,186.9107378453,65.0,-64.52776262138032,-7.820987858243597,0,1968-04-09 18:00:00,1968094S08156
1,44,-40.75,176.5,3,186.78042314835187,67.5,-67.02789868691809,-7.969366199155658,0,1968-04-09 21:00:00,1968094S08156
1,45,-42.0,176.3,2,193.74970283164635,70.0,-67.99403118016691,-16.637659807511703,0,1968-04-10 00:00:00,1968094S08156
1,46,-42.75,176.05,1,193.58839343875593,67.5,-65.61058144570289,-15.858802046711707,0,1968-04-10 03:00:00,1968094S08156
1,47,-43.5,175.8,0,193.58839343875593,65.0,-63.180559910676855,-15.271439007944608,0,1968-04-10 06:00:00,1968094S08156
2,1,-15.8,165.0,92,258.20483764335535,30.0,-6.1324020778205925,-29.36653954343177,0,1970-01-03 00:00:00,1970003S16165
2,2,-15.875,164.625,91,258.2003504448106,30.0,-6.134701940340316,-29.366059185787677,0,1970-01-03 03:00:00,1970003S16165
2,3,-15.950000000000001,164.25,90,258.1958407140789,30.0,-6.1370133135650695,-29.365576234583326,0,1970-01-03 06:00:00,1970003S16165
2,4,-16.025000000000002,163.875,89,258.1913084135214,30.0,-6.139336216201297,-29.365090683061737,0,1970-01-03 09:00:00,1970003S16165
2,5,-16.1,163.5,88,253.3861204779597,30.0,-8.577615188970793,-28.74760020714664,0,1970-01-03 12:00:00,1970003S16165
2,6,-16.200000000000003,163.15,87,253.3778861632905,30.0,-8.581746587686435,-28.746367170561435,0,1970-01-03 15:00:00,1970003S16165
2,7,-16.3,162.8,86,253.3695968344304,30.0,-8.585905409615336,-28.74512529625046,0,1970-01-03 18:00:00,1970003S16165
2,8,-16.4,162.45,85,253.36125237213906,30.0,-8.590091710913143,-28.743874554382913,0,1970-01-03 21:00:00,1970003S16165
2,9,-16.5,162.1,84,258.1620772587677,30.0,-6.15431689543734,-29.361954695669265,0,1970-01-04 00:00:00,1970003S16165
2,10,-16.575,161.725,83,258.1573782738518,30.0,-6.1567249296305935,-29.361449864420273,0,1970-01-04 03:00:00,1970003S16165
2,11,-16.65,161.35,82,258.1526563963266,30.0,-6.15914465361945,-29.360942374790884,0,1970-01-04 06:00:00,1970003S16165
2,12,-16.725,160.975,81,258.14791158635217,30.0,-6.16157608719462,-29.360432219599755,0,1970-01-04 09:00:00,1970003S16165
2,13,-16.8,160.6,80,3.103247544179169,30.0,29.95600810550419,1.624062308831572,0,1970-01-04 12:00:00,1970003S16165
2,14,-16.705357142857142,160.60535714285714,79,3.1047787045403084,30.0,29.955964693707926,1.6248628463117567,0,1970-01-04 15:00:00,1970003S16165
2,15,-16.610714285714288,160.61071428571427,78,3.1063014055565645,30.0,29.955921500536455,1.625658959836823,0,1970-01-04 18:00:00,1970003S16165
2,16,-16.51607142857143,160.61607142857142,77,3.107815643085303,30.0,29.955878526460033,1.6264506472594518,0,1970-01-04 21:00:00,1970003S16165
2,17,-16.42142857142857,160.62142857142857,76,3.10932141309587,30.0,29.955835771943995,1.6272379064907954,0,1970-01-05 00:00:00,1970003S16165
2,18,-16.326785714285716,160.62678571428572,75,3.1108187115055443,30.0,29.955793237453413,1.6280207354147076,0,1970-01-05 03:00:00,1970003S16165
2,19,-16.232142857142858,160.63214285714287,74,3.1123075343288065,30.0,29.955750923448864,1.628799131965786,0,1970-01-05 06:00:00,1970003S16165
2,20,-16.1375,160.6375,73,3.1137878776028742,30.0,29.955708830388517,1.6295730940904383,0,1970-01-05 09:00:00,1970003S16165
2,21,-16.042857142857144,160.64285714285714,72,3.1152597373136928,30.0,29.955666958730244,1.6303426197081883,0,1970-01-05 12:00:00,1970003S16165
